0,0.692305909,,,,
1000,0.33181721,,,,
2000,0.24353762,,,0,0.692305909
3000,0.203522223,,,500,0.616450063
4000,0.180364863,,,1000,0.031654956
5000,0.165247655,,,1500,0.018634776
6000,0.154665829,,,2000,0.013528415
7000,0.146918017,,,2500,0.010734304
8000,0.141064996,,,3000,0.008950731
9000,0.136540377,,,3500,0.007704641
10000,0.132980165,,,4000,0.006780571
11000,0.130139051,,,4500,0.006065615
12000,0.127845544,,,5000,0.005494604
13000,0.125976229,,,,
14000,0.124440178,,,,
15000,0.123169087,,,,
16000,0.122110796,,,,
17000,0.12122492,,,,
18000,0.12047981,,,,
19000,0.119850403,,,,
20000,0.119316669,,,,
21000,0.118862469,,,,
22000,0.118474702,,,,
23000,0.11814267,,,,
24000,0.11785758,,,,
25000,0.117612168,,,,
26000,0.117400407,,,,
27000,0.11721727,,,,
28000,0.117058553,,,,
29000,0.11692072,,,,
