"STATION","NAME","DATE","ACMH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-28",,," 1450"," 1334","0.0","0.0","0.0",,"5.0","-3.3",,"  290",,,"  293","6.7",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-29",,," 1750"," 1306","0.0","0.0","0.0",,"2.8","-3.3",,"  290",,,"  293","5.8",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-30",,," 1150"," 1340","0.0","0.0","0.0",,"1.1","-4.4",,"   50",,,"  270","4.5",,,"5.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-31",,," 1850"," 1302","1.8","20.0","0.0",,"0.0","-2.8",,"   40",,,"   45","6.7",,,"7.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-01",,," 0150"," 0204","9.9","0.0","25.0",,"2.8","0.0",,"   40",,,"   45","5.4",,,"6.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-02",,," 0150"," 1108","12.7","109.0","25.0",,"1.7","-3.9",,"  360",,,"  315","7.6",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-03",,," 0750"," 1452","0.0","0.0","102.0",,"-1.1","-7.2",,"  310",,,"  293","6.3",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-04",,," 1450"," 1115","0.0","0.0","102.0",,"0.6","-8.3",,"  300",,,"  315","4.5",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-05",,," 2050"," 1918","5.8","84.0","76.0",,"-2.2","-5.0",,"   50",,,"   45","7.2",,,"11.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-06",,," 0050"," 0029","4.3","61.0","178.0",,"-2.2","-4.4",,"   60",,,"   68","7.6",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-07",,," 1150"," 2218","0.0","0.0","178.0",,"-1.1","-6.7",,"  300",,,"  270","8.9",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-08",,," 2250"," 2109","0.0","0.0","127.0",,"-5.0","-10.0",,"  310",,,"  270","11.6",,,"21.6",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-09",,," 1850"," 1107","0.0","0.0","127.0",,"-0.6","-7.8",,"  310",,,"  293","10.3",,,"17.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-10",,," 1350"," 0010","0.0","0.0","102.0",,"6.1","-5.6",,"  280",,,"  293","6.7",,,"8.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-11",,," 2050"," 0309","0.0","0.0","76.0",,"5.0","-2.2",,"   80",,,"   45","5.8",,,"6.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-12",,," 1150"," 1453","27.7","0.0","51.0",,"8.3","1.7",,"   50",,,"   45","8.9",,,"18.5",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-13",,," 1450"," 1801","0.0","0.0","0.0",,"3.3","0.6",,"  220",,,"  225","6.3",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-14",,," 1350"," 1015","0.0","0.0","0.0",,"2.8","-1.7",,"  230",,,"  248","6.3",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-15",,," 1950"," 2037","0.0","0.0","0.0",,"2.8","-2.2",,"  280",,,"  270","5.4",,,"8.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-16",,," 1650"," 0050","0.0","0.0","0.0",,"1.7","-5.0",,"  240",,,"  270","6.3",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-17",,," 2050"," 1338","0.0","0.0","0.0",,"6.7","-1.1",,"  270",,,"  248","6.3",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-18",,," 1150"," 0921","0.0","0.0","0.0",,"8.3","1.1",,"  260",,,"  270","6.7",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-19",,," 0550"," 0553","0.0","0.0","0.0",,"10.6","2.8",,"  180",,,"  180","6.7",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-20",,," 0950"," 0918","0.0","0.0","0.0",,"7.8","-1.7",,"  360",,,"   45","4.5",,,"7.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-21",,," 1550"," 1547","0.0","0.0","0.0",,"7.8","0.6",,"  160",,,"  158","5.4",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-22",,," 1550"," 1155","0.0","0.0","0.0",,"16.7","5.6",,"  220",,,"  225","5.8",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-23",,," 2350"," 2227","0.3","0.0","0.0",,"21.1","12.8",,"  220",,,"  225","5.8",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-24",,," 2250"," 0144","0.0","0.0","0.0",,"23.9","12.2",,"  200",,,"  225","5.8",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-25",,," 0350"," 0348","0.0","0.0","0.0",,"19.4","7.2",,"  270",,,"  270","8.9",,,"14.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-26",,," 1650"," 1229","0.3","0.0","0.0",,"7.2","5.0",,"   50",,,"   45","4.0",,,"6.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-27",,," 1650"," 1932","0.3","0.0","0.0",,"12.8","-1.7",,"  310",,,"  315","9.4",,,"17.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-28",,," 0250"," 0127","0.0","0.0","0.0",,"6.1","-4.4",,"  330",,,"  315","7.6",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-01",,," 1250"," 1238","0.0","0.0","0.0",,"12.2","1.1",,"  220",,,"  225","6.7",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-02",,," 1250"," 1817","0.0","0.0","0.0",,"16.1","3.3",,"  310",,,"  315","8.9",,,"12.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-03",,," 2350"," 0803","0.0","0.0","0.0",,"9.4","0.6",,"  300",,,"  270","7.2",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-04",,," 0950"," 0705","8.9","5.0","0.0",,"7.2","-2.8",,"   90",,,"   45","6.7",,,"11.3",,,,,,"    1",,,,,,,"    1","    1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-05",,," 2150"," 2132","2.3","0.0","0.0",,"17.8","2.2",,"  310",,,"  315","8.0",,,"14.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-06",,," 0350"," 0358","0.0","0.0","0.0",,"3.3","-4.4",,"  290",,,"  270","8.9",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-07",,," 1550"," 1931","0.5","0.0","0.0",,"5.0","-3.3",,"  160",,,"  135","7.2",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-08",,," 0650"," 0951","6.4","0.0","0.0",,"13.9","4.4",,"  230",,,"  225","7.2",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-09",,," 0550"," 0524","0.0","0.0","0.0",,"12.2","4.4",,"  280",,,"  270","9.4",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-10",,," 1250"," 1342","0.0","0.0","0.0",,"15.0","4.4",,"  250",,,"  248","5.8",,,"7.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-11",,," 2050"," 2019","2.5","0.0","0.0",,"16.7","3.9",,"  180",,,"  180","6.3",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-12",,," 1750"," 1818","12.4","0.0","0.0",,"13.3","6.7",,"  280",,,"  270","8.0",,,"17.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-13",,," 1150"," 1022","0.0","0.0","0.0",,"15.0","6.1",,"  290",,,"  270","7.6",,,"14.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-14",,," 1850"," 1518","0.0","0.0","0.0",,"12.2","6.1",,"  310",,,"  248","6.7",,,"12.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-15",,," 1850"," 1652","0.0","0.0","0.0",,"7.8","0.6",,"  310",,,"  315","9.4",,,"15.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-16",,," 2350"," 0348","0.0","0.0","0.0",,"10.0","-1.1",,"  310",,,"  270","6.3",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-17",,," 1750"," 1938","0.0","0.0","0.0",,"15.6","0.6",,"  280",,,"  315","8.0",,,"12.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-18",,," 1550"," 1538","0.0","0.0","0.0",,"5.0","-2.8",,"  340",,,"  338","8.9",,,"14.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-19",,," 1950"," 1944","0.0","0.0","0.0",,"8.3","-5.6",,"  210",,,"  225","7.6",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-20",,," 2250"," 2027","1.5","0.0","0.0",,"17.2","3.9",,"  290",,,"  293","7.2",,,"14.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-21",,," 0750"," 0848","0.0","0.0","0.0",,"8.9","-0.6",,"  300",,,"  270","6.7",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-22",,," 1850"," 1339","0.0","0.0","0.0",,"7.8","0.0",,"  120",,,"  158","5.4",,,"7.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-23",,," 0950"," 1215","3.3","0.0","0.0",,"9.4","1.7",,"   50",,,"   90","5.8",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-24",,," 2350"," 1130","0.0","0.0","0.0",,"8.9","6.1",,"  350",,,"   68","7.2",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-25",,," 1850"," 1957","0.0","0.0","0.0",,"10.0","0.0",,"  310",,,"  315","7.2",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-26",,," 0750"," 1332","0.0","0.0","0.0",,"13.3","0.0",,"  310",,,"  315","6.3",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-27",,," 1150"," 1738","0.0","0.0","0.0",,"23.3","6.1",,"  230",,,"  248","5.8",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-28",,," 1350"," 1523","1.0","0.0","0.0",,"25.6","15.0",,"  230",,,"  225","6.3",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-29",,," 1650"," 1513","0.0","0.0","0.0",,"27.8","12.8",,"  240",,,"  270","5.4",,,"8.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-30",,," 2350"," 2201","0.5","0.0","0.0",,"16.1","7.8",,"   30",,,"  360","6.3",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-03-31",,," 1950"," 2050","9.1","0.0","0.0",,"9.4","2.8",,"   80",,,"   90","6.3",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-01",,," 2250"," 1933","9.7","0.0","0.0",,"12.8","3.3",,"  270",,,"  270","6.3",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-02",,," 1050"," 1036","0.0","0.0","0.0",,"8.3","2.8",,"  290",,,"  293","6.7",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-03",,," 1250"," 1114","0.3","0.0","0.0",,"8.9","2.2",,"  180",,,"  158","6.7",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-04",,," 1350"," 0820","0.0","0.0","0.0",,"16.7","6.1",,"  190",,,"  270","6.7",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-05",,," 2150"," 1858","0.0","0.0","0.0",,"23.9","10.6",,"  160",,,"  180","5.8",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-06",,," 0850"," 1822","0.5","0.0","0.0",,"20.6","11.7",,"  170",,,"  270","8.9",,,"15.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-07",,," 0350"," 0113","2.8","0.0","0.0",,"16.1","7.8",,"  280",,,"  270","6.7",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-08",,," 0150"," 1727","0.5","0.0","0.0",,"11.7","2.8",,"  310",,,"  270","6.7",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-09",,," 2350"," 1658","0.0","0.0","0.0",,"8.3","0.0",,"  290",,,"  270","7.2",,,"12.3",,,,,,,,,,,,,,,,,,,
