0,13.9,10.6,8,13
0,20.6,12.8,8,17.8
0,22.2,12.8,8.9,2
0,12.8,2.8,13.4,0
0,7.8,1.1,8.9,0
0,10,2.2,6.3,0
0,11.1,4.4,10.3,17.3
0,9.4,2.2,15.2,0
0,5,0,11.6,0
0,11.1,0.6,11.6,0
0,17.2,10.6,19.2,35.8
0,16.7,0.6,17.4,13.2
0,5,-0.6,7.2,0
0,9.4,4.4,19.7,29.5
0,10.6,2.8,14.3,2.3
0,6.1,0,9.8,0
0,6.7,-0.6,6.7,0
0,8.3,2.8,6.7,4.8
0,8.3,4.4,7.6,0.5
0,8.9,2.8,7.2,0
0,12.2,3.3,10.3,0
0,6.7,1.1,12.5,0
0,6.7,0,10.7,2.5
0,5,0.6,7.6,1.3
0,3.9,-0.6,7.2,0
0,8.3,0.6,7.2,0
0,13.9,5,11.2,0
0,17.8,3.3,14.3,0
74,3.3,-1.1,11.2,6.9
0,2.8,-4.4,8.9,0
0,10.6,1.1,13.4,0
0,8.9,0.6,16.5,0
0,12.8,-0.6,10.7,0.3
0,11.1,2.8,9.4,0
0,8.9,0.6,8.9,2.8
0,8.9,2.8,11.6,3.3
0,5,-1.1,9.4,0
0,1.7,-3.3,8.9,0
38,2.2,-1.7,11.2,11.2
0,-3.3,-8.9,9.4,0
0,-2.2,-6.7,6.7,0
43,2.8,-4.4,8,10.7
0,6.7,0,4.9,0
13,5,0.6,7.2,5.3
0,5,-0.6,9.4,0
0,3.9,-1.1,6.7,0
140,0.6,-5.6,15.2,17.3
56,-5,-7.8,13.9,3
3,-1.1,-7.2,13.9,0
0,1.1,-2.2,13,0
0,3.3,-1.7,8.9,0
0,1.1,-3.3,13,0
0,1.7,-3.3,8.9,0
0,0.6,-5,13,0
0,0,-6.1,12.5,0
0,2.8,-3.9,9.8,0
0,2.8,-3.3,10.3,0
0,5,-2.2,8,0
0,6.1,1.1,4.5,0
0,5.6,3.3,8.9,0
43,3.9,-3.3,10.7,10.4
15,-1.1,-7.2,15.2,6.9
0,-5,-10.6,10.3,0
0,-3.3,-13.3,13.9,0
0,-7.8,-14.4,9.4,0
345,-5.6,-11.1,20.1,35.6
168,-5,-8.9,23.7,19.3
8,-1.7,-8.3,8.9,0.3
0,-0.6,-6.1,11.6,0
0,-3.3,-8.9,10.7,0
61,2.2,-4.4,17.9,14.2
0,1.7,-1.7,11.6,0
0,4.4,-0.6,9.8,0
0,5,-6.7,11.2,0
0,1.1,-8.9,10.7,0
0,7.2,0.6,9.8,0
0,11.1,0.6,10.7,0
0,13.3,-3.3,21.5,21.8
0,-1.1,-5.6,16.1,0
0,0,-3.3,11.2,0
0,5,-1.7,8,0
0,6.1,0.6,10.3,0
0,12.2,4.4,13.9,10.7
0,5.6,-3.3,15.2,0
0,7.8,-4.4,9.8,0
0,12.2,0.6,17,23.6
0,1.7,-1.7,17,0
0,3.9,-2.8,9.4,0
0,6.1,1.1,8.9,0
23,3.9,-7.8,9.8,0.5
0,-3.3,-10,8,0
38,-1.7,-8.3,11.2,2.8
152,-6.7,-10.6,14.3,11.9
0,-8.3,-13.3,11.6,0
0,-8.3,-15,10.3,0
0,-3.3,-10.6,8,0
0,1.7,-6.1,10.3,0
25,5,-0.6,9.4,4.3
0,8.3,3.3,14.3,0
0,8.3,2.8,13,0
0,9.4,2.2,14.3,0
0,2.8,-10,14.3,0
0,-3.9,-11.7,14.8,0
51,3.9,-4.4,9.4,3.8
0,1.7,-2.2,6.3,0
251,-1.1,-5.6,13.4,13
20,0,-6.1,13,0.3
0,0,-5.6,11.2,0
0,5.6,-6.1,8.9,0
0,11.1,2.8,9.8,3
0,11.1,7.8,10.3,12.7
0,15,7.8,6.3,1
0,11.7,6.7,7.6,0
0,13.3,6.1,18.3,10.4
0,16.7,8.3,20.1,0
0,13.9,6.7,12.5,0
0,14.4,2.8,7.2,0.5
0,15.6,-0.6,20.1,2
0,0.6,-4.4,16.5,0
0,1.1,-5.6,9.4,0
117,1.7,-1.7,9.4,8.4
0,1.7,-6.1,20.6,0.3
0,1.7,-7.2,12.5,0
0,16.1,0,13,5.6
0,10,1.1,14.8,13
0,1.1,-5,8.9,20.6
114,-4.4,-10,12.5,7.1
0,-4.4,-11.7,10.7,0
0,0.6,-8.9,6.7,0
0,5.6,-3.9,5.8,0
0,10,0,8.9,0
0,14.4,2.2,7.2,0
0,17.2,7.2,8.9,0
0,15.6,6.1,10.3,3.8
0,8.9,1.1,13.9,0
0,9.4,0.6,7.2,0
0,15,5.6,7.2,0
0,8.3,4.4,23.2,21.3
0,8.3,4.4,10.3,1.3
0,8.9,3.9,9.8,0.3
0,5,1.1,10.3,0
0,6.1,0,16.1,0
0,12.8,1.1,10.3,0
0,15.6,6.1,11.2,0
0,14.4,4.4,12.5,0.3
0,5.6,-2.2,12.5,0
8,4.4,0,11.2,3.6
97,5,-0.6,15.2,11.4
0,12.8,3.3,8.9,0
0,16.7,3.3,8.9,0
0,11.1,7.8,12.5,27.2
0,11.7,4.4,14.3,3.3
0,15.6,3.3,8.9,0
0,13.9,4.4,8,0
0,8.9,2.2,9.8,2
0,11.1,2.2,11.2,0
0,5.6,1.1,13.4,17.5
0,7.8,1.1,7.2,3.3
8,4.4,0.6,11.6,13.7
10,7.8,0.6,17,7.9
0,17.8,4.4,13.9,0
0,26.7,12.8,11.2,0
0,12.8,6.1,11.2,3.8
0,12.2,5,13,0
0,10.6,3.9,12.5,2.8
0,13.9,6.7,12.5,52.8
0,9.4,5,14.8,0
0,20,5.6,9.4,0
0,17.2,10.6,9.4,0
0,20.6,11.1,10.3,0
0,27.2,11.1,10.7,0
0,22.8,14.4,11.6,0
0,29.4,14.4,16.1,3.6
0,17.2,6.7,16.1,0
0,22.2,11.1,14.3,0
0,21.7,12.8,11.2,4.3
0,15,8.9,11.6,0
0,21.1,8.9,11.6,0
0,15.6,10.6,11.6,10.4
0,16.1,8.9,13,8.1
0,18.9,7.8,10.7,0
0,21.1,10.6,12.5,0
0,14.4,11.1,10.3,12.2
0,14.4,11.7,6.7,0
0,21.7,10.6,8,1.3
0,12.2,6.1,11.2,3.6
0,17.8,5.6,8.9,4.1
0,18.3,7.8,7.2,2
0,15.6,10,7.6,0.3
0,23.3,11.1,9.8,1
0,29.4,16.1,14.8,16.3
0,17.2,7.2,16.5,2.5
0,14.4,6.1,11.2,0
0,17.8,6.1,8,0
0,20,8.9,10.7,0
0,12.2,10,13,15.7
0,23.3,11.1,6.7,0
0,17.8,12.8,8,0.5
0,31.7,12.8,7.6,0
0,35.6,23.3,10.7,0
0,33.9,20.6,15.2,4.1
0,26.7,17.2,11.2,0
0,27.2,15.6,8,0
0,24.4,15.6,9.8,0
0,23.3,12.2,10.3,0
0,18.9,12.2,9.4,0.5
0,17.2,10.6,5.8,2.8
0,15.6,12.2,7.6,0
0,17.2,12.2,8.9,0.3
0,18.9,10,13.4,0
0,25,11.1,8.9,0
0,26.7,15,9.8,0
0,23.3,14.4,10.3,0
0,16.1,12.2,9.4,76.5
0,23.9,15.6,10.3,4.6
0,25.6,17.2,9.4,0.8
0,25.6,17.2,10.3,0
0,24.4,17.2,8,0
0,28.9,20.6,9.4,0
0,26.7,19.4,8,0
0,25,20,7.2,0.3
0,28.3,20,7.6,0
0,26.7,19.4,8.9,2.8
0,27.2,20,8.9,0
0,30.6,20.6,7.6,0
0,31.1,21.7,7.2,0
0,27.8,20.6,8.9,0
