0,13.9,10.6,8,0,0,0,1
0,20.6,12.8,8,0,0,0,1
0,22.2,12.8,8.9,0,0,0,1
0,12.8,2.8,13.4,0,0,0,1
0,7.8,1.1,8.9,0,0,0,1
0,10,2.2,6.3,0,0,0,1
0,11.1,4.4,10.3,0,0,0,1
0,9.4,2.2,15.2,0,0,0,1
0,5,0,11.6,0,0,0,1
0,11.1,0.6,11.6,0,0,0,1
0,17.2,10.6,19.2,0,0,0,1
0,16.7,0.6,17.4,0,0,0,1
0,5,-0.6,7.2,0,0,0,1
0,9.4,4.4,19.7,0,0,0,1
0,10.6,2.8,14.3,0,0,0,1
0,6.1,0,9.8,0,0,0,1
0,6.7,-0.6,6.7,0,0,0,1
0,8.3,2.8,6.7,0,0,0,1
0,8.3,4.4,7.6,0,0,0,1
0,8.9,2.8,7.2,0,0,0,1
0,12.2,3.3,10.3,0,0,0,1
0,6.7,1.1,12.5,0,0,0,1
0,6.7,0,10.7,0,0,0,1
0,5,0.6,7.6,0,0,0,1
0,3.9,-0.6,7.2,0,0,0,1
0,8.3,0.6,7.2,0,0,0,1
0,13.9,5,11.2,0,0,0,1
0,17.8,3.3,14.3,0,0,0,1
74,3.3,-1.1,11.2,0,0,0,1
0,2.8,-4.4,8.9,0,0,0,1
0,10.6,1.1,13.4,1,0,0,0
0,8.9,0.6,16.5,1,0,0,0
0,12.8,-0.6,10.7,1,0,0,0
0,11.1,2.8,9.4,1,0,0,0
0,8.9,0.6,8.9,1,0,0,0
0,8.9,2.8,11.6,1,0,0,0
0,5,-1.1,9.4,1,0,0,0
0,1.7,-3.3,8.9,1,0,0,0
38,2.2,-1.7,11.2,1,0,0,0
0,-3.3,-8.9,9.4,1,0,0,0
0,-2.2,-6.7,6.7,1,0,0,0
43,2.8,-4.4,8,1,0,0,0
0,6.7,0,4.9,1,0,0,0
13,5,0.6,7.2,1,0,0,0
0,5,-0.6,9.4,1,0,0,0
0,3.9,-1.1,6.7,1,0,0,0
140,0.6,-5.6,15.2,1,0,0,0
56,-5,-7.8,13.9,1,0,0,0
3,-1.1,-7.2,13.9,1,0,0,0
0,1.1,-2.2,13,1,0,0,0
0,3.3,-1.7,8.9,1,0,0,0
0,1.1,-3.3,13,1,0,0,0
0,1.7,-3.3,8.9,1,0,0,0
0,0.6,-5,13,1,0,0,0
0,0,-6.1,12.5,1,0,0,0
0,2.8,-3.9,9.8,1,0,0,0
0,2.8,-3.3,10.3,1,0,0,0
0,5,-2.2,8,1,0,0,0
0,6.1,1.1,4.5,1,0,0,0
0,5.6,3.3,8.9,1,0,0,0
43,3.9,-3.3,10.7,1,0,0,0
15,-1.1,-7.2,15.2,1,0,0,0
0,-5,-10.6,10.3,1,0,0,0
0,-3.3,-13.3,13.9,1,0,0,0
0,-7.8,-14.4,9.4,1,0,0,0
345,-5.6,-11.1,20.1,1,0,0,0
