95.97436,0.001,1000
96.30769,0.002,1000
96.58974,0.003,1000
96.58974,0.004,1000
97.35897,0.005,1000
97.51282,0.006,1000
97.25641,0.007,1000
97.43590,0.008,1000
97.76923,0.009,1000
97.82051,0.010,1000
97.92308,0.011,1000
98.10256,0.012,1000
97.92308,0.013,1000
97.71795,0.014,1000
97.92308,0.015,1000
97.61538,0.016,1000
97.76923,0.017,1000
98.30769,0.018,1000
97.94872,0.019,1000
98.25641,0.020,1000
98.15385,0.021,1000
98.02564,0.022,1000
98.51282,0.023,1000
98.23077,0.024,1000
98.10256,0.025,1000
98.28205,0.026,1000
98.43590,0.027,1000
98.56410,0.028,1000
98.02564,0.029,1000
98.69231,0.030,1000
98.07692,0.031,1000
98.43590,0.032,1000
98.30769,0.033,1000
98.48718,0.034,1000
98.56410,0.035,1000
98.64103,0.036,1000
98.20513,0.037,1000
98.15385,0.038,1000
98.17949,0.039,1000
98.66667,0.040,1000
98.35897,0.041,1000
98.71795,0.042,1000
98.56410,0.043,1000
98.23077,0.044,1000
98.46154,0.045,1000
98.82051,0.046,1000
98.66667,0.047,1000
98.64103,0.048,1000
98.56410,0.049,1000
98.35897,0.050,1000
98.38462,0.051,1000
98.15385,0.052,1000
98.23077,0.053,1000
98.64103,0.054,1000
98.61538,0.055,1000
98.10256,0.056,1000
98.79487,0.057,1000
98.07692,0.058,1000
98.46154,0.059,1000
98.56410,0.060,1000
98.71795,0.061,1000
99.00000,0.062,1000
98.56410,0.063,1000
98.28205,0.064,1000
98.82051,0.065,1000
98.66667,0.066,1000
98.35897,0.067,1000
98.69231,0.068,1000
98.76923,0.069,1000
98.79487,0.070,1000
98.41026,0.071,1000
98.66667,0.072,1000
98.58974,0.073,1000
98.66667,0.074,1000
98.51282,0.075,1000
98.92308,0.076,1000
98.71795,0.077,1000
98.66667,0.078,1000
99.07692,0.079,1000
98.82051,0.080,1000
98.41026,0.081,1000
98.66667,0.082,1000
98.46154,0.083,1000
98.61538,0.084,1000
98.79487,0.085,1000
98.74359,0.086,1000
98.61538,0.087,1000
98.38462,0.088,1000
98.58974,0.089,1000
98.56410,0.090,1000
98.79487,0.091,1000
