95.82051,1000
96.10256,2000
96.64103,3000
96.92308,4000
97.20513,5000
97.17949,6000
97.15385,7000
97.46154,8000
98.25641,9000
97.97436,10000
97.92308,11000
98.05128,12000
97.74359,13000
98.12821,14000
98.05128,15000
97.74359,16000
97.87179,17000
98.12821,18000
98.56410,19000
97.82051,20000
97.71795,21000
98.33333,22000
97.87179,23000
98.41026,24000
98.28205,25000
98.51282,26000
98.30769,27000
98.82051,28000
98.00000,29000
98.00000,30000
98.38462,31000
98.35897,32000
98.48718,33000
98.53846,34000
98.28205,35000
98.00000,36000
98.38462,37000
98.58974,38000
98.02564,39000
98.41026,40000
98.79487,41000
98.30769,42000
98.43590,43000
98.20513,44000
98.33333,45000
98.66667,46000
98.97436,47000
98.51282,48000
98.46154,49000
